sm,ft,ma,gt
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)nc(OC(CO)CO)c2Cl)n[nH]1,"[ -6.5245256  -1.409591  -16.486238  ...   0.          0.
   0.       ]",[False  True False False False],[-0.01265238 -0.03751846 -0.9540723  -0.93920747 -0.12482199]
CCCCCCCCCCCO,[-6.3735847  4.3877335 -2.2549725 ...  0.         0.         0.       ],[False False False False  True],[ 0.35911972  0.9859295  -0.96124131 -0.89062468 -0.34900222]
FC(F)(F)c1cccc(CNC2=NCCS2)c1,"[ -8.841202    -0.55948645 -11.818415   ...   0.           0.
   0.        ]",[False False False False  True],[ 0.5181702   0.50077108 -0.98243428  0.33152287  0.51884701]
CCCCCCCCCCCCCCCCCCO,"[  3.7640455 -12.351089    1.8745301 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.39206983  0.90623286 -0.29467719 -0.675384   -0.62749446]
O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,[ 16.413353 -12.7485     8.479273 ...   0.         0.         0.      ],[False  True False False False],[ 0.51462234 -0.05760709 -0.97003226 -0.93713901  0.10850432]
Cc1ccc(-c2nnc(SCC(=O)N3CCN(c4ccccc4)CC3)o2)cc1,[ 21.080027 -16.1077    14.125006 ...   0.         0.         0.      ],[False  True False False False],[ 0.25584051  0.99231905 -0.89820639 -0.88123796  0.46640917]
OCC(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NC3CC3)sc12,[-2.1999512 -7.129862  11.123443  ...  0.         0.         0.       ],[False  True False False False],[-0.53645807  0.70162482 -0.48728553 -0.35087064 -0.45297729]
c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,[11.191671   2.5948458 -6.9151936 ...  0.         0.         0.       ],[False False False False  True],[-0.69744687  0.89437571 -0.15896835 -0.72439811  0.46696231]
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,[18.87302  -4.045452 15.894373 ...  0.        0.        0.      ],[False False False  True False],[ 0.58071369  0.95180227  0.48821966 -0.95696679 -0.00192144]
CCCCC(CC)CO[Si](OCC(CC)CC)(OCC(CC)CC)OCC(CC)CCCC,"[-26.90488    -15.958003     0.70799315 ...   0.           0.
   0.        ]",[False False False False  True],[-0.40345363  0.94338725 -0.5287718  -0.22143132 -0.71175166]
OC1CCCCC1c1ccccc1,[-5.6413484 20.50209   11.253497  ...  0.         0.         0.       ],[False False False False  True],[-0.28685734  0.93219484 -0.84068559  0.49864216 -0.38891353]
CCOC(=O)c1ccc2c(C(C(=O)NS(=O)(=O)c3ccc(C)cc3OC)c3ccc4c(c3)OCO4)cn(C)c2c1,[-11.076219   9.220011  -8.104492 ...   0.         0.         0.      ],[ True False False False False],[ 0.39339831  0.87311731 -0.44977255 -0.94389813 -0.26502134]
c1ccc(P(c2ccccc2)c2ccccc2)cc1,[23.062145  -6.2604704 12.513779  ...  0.         0.         0.       ],[False False False False  True],[ 0.20371094  0.82735115 -0.8424152  -0.88658772  0.01241685]
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,[-7.3856187  5.5508027  2.1746364 ...  0.         0.         0.       ],[False False False False  True],[ 0.01827129  0.41044218 -0.3348977  -0.00271569  0.25809313]
C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,[ 1.8212783 -3.2225623 -1.2169932 ...  0.         0.         0.       ],[ True False False False False],[ 0.0667546   0.66230376 -0.05725107 -0.81556197 -0.34995964]
Cn1cncc1CN1CC(N(Cc2cccc(-n3cccc3)c2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,[-2.7939107 -4.246173  -1.3633742 ...  0.         0.         0.       ],[ True False False False False],[-0.08579587 -0.90232944 -0.57586066 -0.88932657  0.1617175 ]
CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,"[-16.781633    7.1314764  -2.9259648 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.45665822  0.33999806 -0.60532511 -0.94298519 -0.30820399]
CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,[-5.2227097  0.7118571 -1.921171  ...  0.         0.         0.       ],[False  True False False False],[ 0.32428795  0.27149188 -0.84938286 -0.17217592  0.2116275 ]
CCOCCOCC,"[-23.442423    7.4522896 -10.132713  ...   0.          0.
   0.       ]",[False False False False  True],[-0.11166219  0.98061526 -0.93990677 -0.86889587 -0.49490022]
CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,"[-13.659178    2.9859483  -9.044017  ...   0.          0.
   0.       ]",[False  True False False False],[-0.16960513  0.99468242 -0.51665842 -0.47179853  0.09983725]
Cc1ccc(N2C(=O)C=CC2=O)cc1,[ 25.177391 -19.511467  21.04346  ...   0.         0.         0.      ],[False False False False  True],[-0.39795547  0.17326937 -0.65742355 -0.84295779 -0.05543237]
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,"[-12.813509    1.4865413  -3.5808792 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.44224212  0.7765976  -0.98022599 -0.97449096 -0.09268293]
Fc1ccc2[nH]c(C(F)(F)F)nc2c1,"[-8.152722   -0.80257267 -6.820544   ...  0.          0.
  0.        ]",[False False False False  True],[ 0.50222468  1.00724221 -0.73657922 -0.72425125  0.68470067]
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,[-15.413915  20.205223   4.80208  ...   0.         0.         0.      ],[False False False False  True],[ 0.50872724 -0.19585352 -0.93107898 -0.88883981 -0.14412417]
O=C1CCc2cc(C=CCN3CCN(c4ccc(Cl)cc4)CC3)ccc2N1,[-8.984416   3.1400938 -5.4990616 ...  0.         0.         0.       ],[False False False False  True],[ 0.54729561  0.74400264  0.3323217  -0.82517532  0.14944568]
CC(C)C(CCC(C)C1CCC2C3C(O)CC4CC(NCCC[NH2+]CCCC[NH3+])CCC4(C)C3CCC12C)OS(=O)(=O)[O-],"[-0.23495114  4.3070526  -1.6445467  ...  0.          0.
  0.        ]",[False False  True False False],[ 0.0227682   0.80440262 -0.93323217 -0.90849758 -0.16379967]
OCC=CCl,[ 1.7067134 -3.5569577 -1.5044136 ...  0.         0.         0.       ],[False False False False  True],[-0.17787031 -0.53518628 -0.48017834 -0.94444974  0.1827051 ]
Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]nc2C(F)(F)F)CC1,[ 3.4011106 -2.6065755  6.20808   ...  0.         0.         0.       ],[False  True False False False],[-0.32493978  0.79143279 -0.8442224  -0.73772163 -0.06675106]
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,[ 6.5332932 -1.6062648  5.165147  ...  0.         0.         0.       ],[False False False False  True],[ 0.25005964  0.89801367 -0.94644755 -0.99535503 -0.25321508]
CCCCCCCCCOC(=O)C1=CNC=C(C(=O)NC2CCCC2)C1c1ccccc1[N+](=O)[O-],"[-23.40522     8.6740055   7.8203583 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.44367557  0.56342087 -0.39458032 -0.9106657   0.9481153 ]
O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,"[-12.718422     0.05964088  -6.3335443  ...   0.           0.
   0.        ]",[False False False False  True],[ 0.23294758  0.9830782   0.21265646 -0.92892165  0.04700665]
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,"[ 6.2605257  -0.88196707  5.8297505  ...  0.          0.
  0.        ]",[False False False False  True],[-0.19905401 -0.12452079 -0.98935742 -0.89515833 -0.00354767]
CCOP(=S)(OCC)OCCSCC,[-2.8292763 -2.8274488 -1.8189523 ...  0.         0.         0.       ],[False False False False  True],[ 0.49203996  0.99516672 -0.72130048 -0.86690051  0.88292683]
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN2CCOCC2)CCCC1)c1ccc(-c2ccccc2)s1,[ 3.5186825  4.342106  -6.6379757 ...  0.         0.         0.       ],[ True False False False False],[ 0.27538001  0.21451229 -0.93574798 -0.85986203 -0.09701464]
N=C(N)c1cccc(CC(CC(=O)N2CCNCC2)NS(=O)(=O)c2ccc3ccccc3c2)c1,[ -6.160076   4.62829  -11.645896 ...   0.         0.         0.      ],[ True False False False False],[-0.7957201   0.8587746  -0.8942936  -0.81147001  0.19130464]
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,"[  5.5997305  -3.513139  -10.123243  ...   0.          0.
   0.       ]",[False False False False  True],[-0.08072953  0.97607258 -0.40283962 -0.65655194 -0.17383592]
OCC1COC(Cc2ccccc2)O1,"[  7.7242374   3.5344453 -20.632542  ...   0.          0.
   0.       ]",[False False False False  True],[ 0.45398674 -0.60633914 -0.57325019 -0.81216077 -0.21862528]
C=CCc1cc(OC)c(OC(C)C(O)c2cc(O)cc(OC)c2)c(OC)c1,[-4.2361    -1.9807506 -5.453079  ...  0.         0.         0.       ],[ True False False False False],[ 0.41863403  0.91850144 -0.83965644 -0.27543296  0.32573088]
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@H]2COCCN2)c1,"[ 2.8969154  -0.55989    -0.43728215 ...  0.          0.
  0.        ]",[False  True False False False],[ 0.50513419  0.91078287 -0.95783285 -0.50673379  0.11945911]
O=C=NCC1CCC(CN=C=O)CC1,"[-10.309324    5.0823035  -1.8346231 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.74060293  1.00254083 -0.90895931  0.08084395 -0.20487805]
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,[  9.277982 -12.089984   4.501125 ...   0.         0.         0.      ],[ True False False False False],[-0.11173488 -0.06108759  0.3323217  -0.91959359  0.01462593]
C=CCOC(=O)CCCCC,[-6.9909215 -1.3715243 -0.7558673 ...  0.         0.         0.       ],[False False False False  True],[ 0.11792191  0.2860074  -0.93874034 -0.86526993  0.13702882]
O=C1CCc2cc(C=CCN3CCN(c4cccc(Cl)c4)CC3)ccc2N1,"[-11.329438     4.883256     0.73449314 ...   0.           0.
   0.        ]",[False False False False  True],[-0.1065383   0.98358237 -0.77883073 -0.87645119  0.14944568]
CN1CCN(C)C1=O,"[ 11.792018   -10.013659     0.02557236 ...   0.           0.
   0.        ]",[False False False False  True],[ 0.5564587   0.24959592 -0.95270031 -0.00271569 -0.26075388]
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCC(=O)N2CCC(N3CCOCC3)CC2)CCCC1)c1cc2ccccc2s1,[ 2.848425  -0.7980033 -3.571958  ...  0.         0.         0.       ],[ True False False False False],[-0.15241816  0.65720309 -0.77561487 -0.75258446  0.20092991]
CC1=C2C(=O)OC(c3ccoc3)C2(C)CCC1,"[ -5.882167  -14.13085     3.8867028 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.09558465  0.8948531  -0.44689168 -0.57672466  0.16940133]
CC(Cl)Cl,[-5.3013277 -1.1338834 -2.43194   ...  0.         0.         0.       ],[False False False False  True],[-0.52342427  0.65359083 -0.94730009 -0.88367918 -0.18226164]
CCOC(=O)C1CCCCC1,[ 17.19104   -8.72443  -13.915579 ...   0.         0.         0.      ],[False False False False  True],[-0.0206171   0.6717474  -0.8168162  -0.85851409 -0.42128603]
COC(Cc1ccccc1)OC,[-3.337818   3.9653635  3.0948763 ...  0.         0.         0.       ],[False False False False  True],[ 0.53878756  0.78950613 -0.93724906 -0.9612618  -0.38536585]
CC1=CC(C)(C)Nc2ccc(Cc3ccc4c(c3)C(C)=CC(C)(C)N4)cc21,"[10.11505    -0.88965976 11.652755   ...  0.          0.
  0.        ]",[False False False False  True],[ 0.18870371  0.76486344 -0.71415836 -0.84774593 -0.3059867 ]
COc1cnn(C)c(=O)c1-c1ccc(C[C@@H](CO)NC(=O)c2c(Cl)cccc2Cl)cc1,"[-2.7243981   1.0236673   0.14847672 ...  0.          0.
  0.        ]",[ True False False False False],[-0.06636274  0.93056318 -0.90820024 -0.93451264 -0.01367531]
CCCCCC(C=Cn1ccnc1)OCc1ccccc1,[-18.387688  15.342133  -5.097284 ...   0.         0.         0.      ],[False False False False  True],[ 0.65650733  0.59389815 -0.45085296 -0.92253425 -0.22128603]
COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1,"[-5.858218    0.80771685  5.246402   ...  0.          0.
  0.        ]",[False False  True False False],[ 0.32725002  0.63982582 -0.39605463 -0.45634149 -0.0981953 ]
Oc1ccc(Cl)cc1Cl,[ 28.250744 -26.096533   9.031355 ...   0.         0.         0.      ],[False False False False  True],[ 0.09342231  0.93126932 -0.9753335  -0.91647325 -0.04301552]
CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,"[ 10.933211  -17.557766    6.3823295 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.32469023  0.98547286 -0.96194301 -0.60491059 -0.18625277]
CN(C)C(=O)n1c(Br)nc(Br)c1Br,[-5.9717417  1.3991749 -5.3334494 ...  0.         0.         0.       ],[False False False False  True],[ 0.60049917  0.89392926 -0.69219405 -0.6063622   0.58980044]
Cc1ccc(OC(=O)C(C)C)cc1,"[-13.160774    3.768587    0.2747637 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.44629595  0.15741941 -0.88673343 -0.19677509 -0.39778271]
CC(C)COc1ccc2ccccc2c1,[-6.8848343 -1.1573367  3.7298796 ...  0.         0.         0.       ],[False False False False  True],[-0.31379938  0.61344247 -0.72451295 -0.58425824 -0.45099778]
C=CO,[-4.8961554  1.125829  -8.33355   ...  0.         0.         0.       ],[False False False False  True],[ 0.00162478  0.39562826  0.54247621 -0.93173363  0.12949002]
CC(C)[C@H](NC(=O)CCN(C)C)c1cccc(F)c1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,[-11.965571  12.563094  -7.708085 ...   0.         0.         0.      ],[ True False False False False],[ 0.24014454  0.9804722  -0.61319254 -0.90341602 -0.15720264]
CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1.Cl.O,"[-17.37663     6.475922    0.4533792 ...   0.          0.
   0.       ]",[ True False False False False],[ 0.18404778  0.40965065 -0.48977366 -0.19362815 -0.4347349 ]
CC(Cl)C(=O)O,[10.22613    4.653135  -3.7541313 ...  0.         0.         0.       ],[False False False False  True],[ 0.16732568 -0.27976067 -0.75349586  0.49864216 -0.09268293]
COc1ccc(C(=O)c2ccccc2)c(O)c1,[  9.906088   8.012978 -13.862181 ...   0.         0.         0.      ],[False False False False  True],[ 0.22118478 -0.06118568 -0.7773715  -0.2402496  -0.46873614]
CN1CC(n2nccc2-c2cc(Cl)ccc2Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,[14.8625145 -7.156727   8.910451  ...  0.         0.         0.       ],[False  True False False False],[ 0.24897164  0.9084195  -0.79288481  0.66576144 -0.20472372]
CC(C)CS,[-1.617579  11.199442   1.2345572 ...  0.         0.         0.       ],[False False False False  True],[ 0.22194935  0.56540923 -0.97130623 -0.81917382 -0.64124169]
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,[ 7.2948494 -1.9050825  5.1388855 ...  0.         0.         0.       ],[False False False  True False],[ 0.37277383  0.8490322  -0.93943504 -0.94693963  0.19342117]
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,"[ -1.8132603   2.1681569 -18.437582  ...   0.          0.
   0.       ]",[False False False  True False],[-0.3512584   0.92150579 -0.91414911 -0.46229371 -0.19985417]
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"[-15.027554   11.199316   -3.9251506 ...   0.          0.
   0.       ]",[False False False  True False],[ 0.46017409  0.94442697 -0.69671346 -0.8383121   0.57350309]
CCC(=O)CC(C)CC,[-0.9943621 15.8768215  0.5971656 ...  0.         0.         0.       ],[False False False False  True],[ 0.41867772  0.98463465 -0.68407592 -0.91946767 -0.43547672]
C[NH+](C)CCNC(=O)c1cccc2cc3ccccc3nc12,"[ 6.7364330e+00 -1.0678737e+00  4.0781498e-03 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",[False False  True False False],[-0.50389731 -0.22266516  0.03186646 -0.90588972 -0.25265036]
CC1Cc2cc(C(=O)CCc3ccccc3)ccc2O1,[-1.150877   9.857512   3.2627876 ...  0.         0.         0.       ],[False False False False  True],[ 0.34257348  0.52351842  0.3323217  -0.92285074 -0.20088692]
CC(=O)N(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,[1.3186526 0.1530962 3.4655104 ... 0.        0.        0.       ],[False  True False False False],[ 0.12496073  0.8901034  -0.91070869  0.16440359  0.62356589]
CCSCCSP(=O)(OC)OC,[ 6.5629616 -5.0699763  7.3378296 ...  0.         0.         0.       ],[False False False False  True],[ 0.27267356  0.81677677  0.40720853 -0.79370787  0.5383592 ]
Cc1ccn(C(N)=O)n1,[ 4.2395535 -2.0066004  8.304512  ...  0.         0.         0.       ],[False False False False  True],[ 0.10898437  0.98236126 -0.98968986 -0.90197754 -0.2172949 ]
CC(C)C[C@H]1NC(=O)[C@@H](CC2CCCCC2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)/C=C\c2ccccc2OC1=O,"[-10.575951    -2.1220915   -0.07141298 ...   0.           0.
   0.        ]",[ True False False False False],[-0.50951141  0.99788825 -0.92580471 -0.81949035  0.32123732]
COP(C)(=S)SCSc1ccc(Cl)cc1,[ -9.916687   8.830902 -18.060995 ...   0.         0.         0.      ],[False False False False  True],[ 0.23464217 -0.49246677 -0.96167135 -0.38185016  0.63769401]
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1ccnn1CCc1ccncc1,"[ 1.1495438  -0.40960962  0.9994879  ...  0.          0.
  0.        ]",[ True False False False False],[ 0.07309389  0.63267392 -0.93272846 -0.89888597 -0.4651181 ]
C[C@@H](NC(=O)[C@H]1CCCNC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,"[-1.7826881  -0.03643471 -0.8990464  ...  0.          0.
  0.        ]",[False  True False False False],[ 0.70465105  0.68153619  0.55849176 -0.80690248  0.635697  ]
CCCCCCCCCC[NH2+]CCN[C@@]1(C)C[C@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)[NH2+]C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])c5cc(O)c(C[NH2+]CP(=O)([O-])[O-])c(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H]1O,"[-6.949772   -1.8224518   0.58441234 ...  0.          0.
  0.        ]",[False False  True False False],[-0.28760597  0.98241904 -0.96965099 -0.50733136  0.04498836]
CCOC(C1=NCC(C)(C)CN1)c1ccc(C(C)C)cc1,[ 6.3866467 -2.6492143  1.0116465 ...  0.         0.         0.       ],[False False False False  True],[-0.40783075  0.98839424 -0.71121615 -0.92599264  0.25365854]
CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,"[ 17.387455  -14.135449   -6.3651147 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.33575907  0.96548393 -0.80701663  0.16440359 -0.12283814]
Cc1cccc(C(C)c2ccccc2)c1C,"[-1.0946832   1.2577481   0.70123863 ...  0.          0.
  0.        ]",[False False False False  True],[ 0.44327424  0.88075767  0.54362767 -0.08627533 -0.23725055]
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,[12.187679   7.792015  -3.7868662 ...  0.         0.         0.       ],[False False  True  True False],[ 0.27377816  0.86120936 -0.66919575 -0.87173595  0.00313096]
O=C(O)C(Cl)(Cl)Cl,[ 4.46451   -8.059986   1.2132688 ...  0.         0.         0.       ],[False False False False  True],[-0.2321221  -0.13546632 -0.82344064 -0.95288423  0.02882483]
C=CCOC(=O)C1CC2OC2CC1C,[-3.5671456  4.70897   -5.6339884 ...  0.         0.         0.       ],[False False False False  True],[ 0.15641518  0.78694397 -0.93758605 -0.92777197  0.02128603]
CCNCc1cc([N+](=O)[O-])ccc1O,[ 7.251254  -3.1824846 -0.3026166 ...  0.         0.         0.       ],[False False False False  True],[ 0.61251481  0.27582673 -0.9760471  -0.94991819 -0.11485588]
CNC(=O)Oc1ccc(NC(C)=O)cc1,[-7.854929   0.5375735 -6.8630414 ...  0.         0.         0.       ],[False False False False  True],[-0.45140102  0.23319664 -0.92430206 -0.4710137  -0.05631929]
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,"[  3.2274222  23.589743  -26.646776  ...   0.          0.
   0.       ]",[False False False False  True],[-0.88003975  0.41750375 -0.51853784 -0.16747896  0.31042129]
Cc1nc(C(C)C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,[-3.6414008 15.372269   8.231978  ...  0.         0.         0.       ],[False  True False False False],[ 0.293016    0.87355982  0.16568715 -0.86519747 -0.4460273 ]
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,"[12.010567   -0.18356133  9.839715   ...  0.          0.
  0.        ]",[False False False False  True],[ 0.05586453  0.3664328  -0.8127537   0.49864216 -0.66385809]
