Drug,Caco2_Wang,PPBR_AZ,VDss_Lombardo,Half_Life_Obach,LD50_Zhu
CC(C)CC(C)(C)CO,,,,,1.835
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,,,,,2.285
O=[N+]([O-])c1c(Cl)c(Cl)cc2[nH]c(C(F)(F)F)nc12,,,,,3.518
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,,,,,2.459
COc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,95.91,,,
COc1cc(F)ccc1Cn1ccc2c3c(ncc21)C(=O)N([O-])CC3,,,5.7,,
C=C(C)C(=O)OCCN(C)C,,,,,1.953
COc1cccc2c1C(CO)N1C(C#N)C3CC(C(=O)[O-])C(C1C2)N3C,,,0.23,,
CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(C)(=O)=O,,66.61,,,
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,,,,,4.6930000000000005
CN(C)CCC#N,,,,,1.577
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,,,,4.5,
O=Cc1ccccc1C(=O)O,,,,,1.301
CC(=O)Nc1ccc2ccn(-c3cc(NCCN4CCCC4)n4ncc(C#N)c4n3)c2c1,,94.44,,,
CC(=O)c1ccc(N2CC(CN)OC2=O)cc1,-4.8499999,,,,
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,,,,,1.806
CC(CCl)[N+](=O)[O-],,,,,2.7969999999999997
Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,,99.94,,,
CCCCOCCOCCCO,,,,,1.533
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,,91.46,,,
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,,,,0.83,
COP(=O)(OC)OC(=C(Cl)Br)c1ccc(Cl)cc1Cl,,,,,3.5839999999999996
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,,,,,2.354
OCc1c(F)c(F)c(F)c(F)c1F,,,,,2.343
CC1CN1P(=O)(N1CC1C)N1CC1C,,,,,3.199
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,,,,0.4,
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,,92.8,,,
CC(=O)OCC(COC(C)=O)OC(C)=O,,,,,1.862
COC(=O)c1ccccc1N,,,,,1.716
C=CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,,,2.3,,
CNC(=O)OC(C)(C)C1CC=C(C)CC1,,,,,2.6260000000000003
CC(=O)CCC(=O)O,,,,,1.798
O=C(O)CCC1(Cc2ccccc2)CCCCC1=O,,,,,2.114
C1CO1,,,,,2.787
C=COCCOCCOCC,,,,,1.152
CCC(=O)OCc1ccc(OC)cc1,,,,,1.766
O=c1[c-](CC[S@](=O)c2ccccc2)c(=O)n(-c2ccccc2)n1-c1ccccc1,,,0.12,,
O=CNc1ccc(Br)cc1,,,,,2.252
O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)([O-])=N1,-6.5214390999999985,,,,
Cc1ccccc1CNC1=NCCS1,,,,,3.1
Cc1cccc(C(N)=O)c1NC(=O)c1ccccc1,,55.16,,,
[NH3+]CC1OB(O)c2c(OCCCO)cccc21,,,2.37,,
CC1CCN(C(=O)CC(Cc2cccc(N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,-4.997839,,,,
CP(=S)(Oc1ccccc1)Oc1ccc(C#N)cc1,,,,,3.5639999999999996
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,,,,,5.827000000000001
NNC(=O)c1ccncc1,,,0.82,1.0,2.04
CCOP(=S)(OCC)SCc1nnc(C(C)C)o1,,,,,3.667
COc1ccc2c(c1)c(CC(=O)Oc1ccccc1Cl)c(C)n2C(=O)c1ccc(Cl)cc1,,,,,3.489
COCc1c(C(C)C)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)[O-])c1-c1ccc(F)cc1,,,0.33,,
CC(C)c1ccc(CC=O)cc1,,,,,1.597
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,,,3.2,,
CC(=O)c1cccc(N)c1,,,,,1.859
CCOP(=S)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,,,,,4.575
C=CN1CC1,,,,,2.895
CCOP(=O)(O)CCCl,,,,,2.14
[NH3+]C(CCC(=O)NC(Cc1ccc(O)c(O)c1)C(=O)[O-])C(=O)[O-],,,0.21,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,
NS(=O)(=O)c1ccc(NC(=O)c2cc(=O)c3ccccc3o2)cc1,,,,,1.838
CCOP(=O)(OCC)Oc1ccc(SC)c(C)c1,,,,,4.5089999999999995
CCCN(CCC)C(=O)C(CCC(=O)OCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12)NC(=O)c1ccccc1,,,,,3.083
COP(=O)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1,,,,,3.992
CCC(O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)c3c2c1C([NH3+])CC3,,,0.44,,
CCCCCCCCCCCC(=O)OCC(O)CO,,,,,0.7859999999999999
CN(C)CCCCCCN(C)C,,,,,2.857
COc1ccc([N+](=O)[O-])cc1N,,,,,1.874
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,,,,,1.517
C=CCc1ccc(OC)c(OC)c1,,,,,2.1790000000000003
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCc1nn[nH]n1,,93.53,,,
CCc1cccc2cc(C(O)C[NH2+]C(C)(C)C)oc12,,,1.7,,
COc1ccc(C(Oc2ccccc2)C2=NCCCN2)cc1F,,,,,2.497
CC1=CCC2CC1C2(C)C,,,,,1.5659999999999998
O=C(C(F)(F)Cl)C(F)(Cl)Cl,,,,,2.891
CC(=O)C=Cc1ccc2c(c1)OCO2,,,,,1.6769999999999998
Nc1ccc(F)c(F)c1,,,,,2.5789999999999997
CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C,,,,,3.318
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.0,,,,
CCCOCN(C(=O)CCl)c1c(C)cccc1OCC,,,,,2.155
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,71.99,,,2.035
Oc1c(Cl)c(Cl)cc2[nH]c(C(F)(F)F)nc12,,,,,3.717
CC(C)CCCCCCCOP(Oc1ccccc1)Oc1ccccc1,,,,,2.199
O=P(O)(O)Oc1ccccc1,,,,,1.881
CCOC(=O)Cc1n[nH]c2ccc(Cl)cc12,,,,,1.6969999999999998
Cc1cccc2sc3nncn3c12,,,,,2.8789999999999996
COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,,,,31.0,
CN(C)c1ccc(N=Nc2cccc(Br)c2)cc1,,,,,1.369
O=S(=O)(O)NC1CCCCC1,,,,,1.1740000000000002
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,,,0.23,,
OC(COc1ccccc1)COc1ccccc1,,,,,2.227
CCC1OC(C)SC1=NOC(=O)NC,,,,,4.163
CC(C)CCO,,,,,1.831
COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@@](C)(O)C2,-4.5693183,,,,
CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@@]1(C)O,-5.7800002,,,,
CCCCC(CC)COC(=O)Cl,,,,,1.551
COc1cnc(-c2ccccn2)nc1N1CCCCC1,,95.12,,,
O=NN(CCCl)C(=O)NCCCl,,,1.2,0.37,4.029
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,91.82,,,
O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,,,,,3.472
Cc1ccc(-c2ncc(C)n2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,,97.81,,,
CC(=O)OCCC1CCCCC1,,,,,1.726
C=CC1(C)CCC(C(C)(C)O)O1,,,,,2.17
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,,,,,4.238
COc1cc(OC2CCN(C)CC2)c2c(Nc3cccc4c3OCO4)ncnc2c1,,97.91,,,
CC(C(=O)O)c1ccc(Oc2nccs2)cc1,,,,,3.266
CC(=O)C(NC(=O)CN)c1ccc(O)cc1,-5.2800002,,,,
C[C@@](C(=O)O[C@H]1C[N+]2(CCCc3cncnc3)CCC1CC2)(c1ccccc1)N1CCCCC1,,22.38,,,
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,,,4.3,,2.49
COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O,,,4.9,,
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,,,,1.4,
CCOC(C1=NCCCCN1)c1ccc(Cl)cc1,,,,,2.858
CCCP(=O)(O)OCC,,,,,1.82
CC(C)(C)c1ccc(O)c(O)c1,,,,,1.77
CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,,,,5.0,
CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,,,,,2.572
CNC(=O)ON=C(C)SCC(=O)N(C)C,,,,,4.377
CBr,,,,,2.647
NCCNCCNCc1ccccc1O,,,,,1.959
CCCCOCCOCCOCOCCOCCOCCCC,,,,,2.285
CC(=O)CNC(C)(C)Cc1ccccc1,,,,,2.96
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,,,0.32,,
CCOP(=O)(OCC)SCn1nc(C)oc1=O,,,,,5.4510000000000005
CC(C)C(Br)C(=O)O,,,,,2.372
CCOC(=O)CN(C)N=O,,,,,1.5630000000000002
COCCC#N,,,,,1.287
CCC(C)Nc1ccc(NC(C)CC)cc1,,,,,3.173
O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,,,,,5.957000000000001
ClCCCCCCCCC(Cl)(Cl)Cl,,,,,2.857
NCCOC(=O)c1ccccc1,,,,,1.251
CCOC(=O)CCN1CC(=O)N(C)c2ccc(OCc3ccc(C(=N)N)cc3)cc2C1=O,-6.3682656,,,,
O=NN1CCOC1,,,,,1.833
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,-6.2987847000000015,,,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,-4.3887606,,,,
Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,,98.21,,,
O=C(O)C(Cl)(Cl)CCl,,,,,1.858
CC(N)CC(C)(C)N,,,,,2.431
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,,,1.4,
CC(NNC(=O)c1ccccc1)c1ccccc1,,,,,2.551
NNC(=O)CSc1cc(Oc2ccccc2)ncn1,,,,,3.099
O=S(=O)(Nc1ccc2sc(CO)nc2c1)c1ccc(Br)cc1,,99.31,,,
C[NH+]1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,,,9.7,,
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,,,,,1.743
CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,,,,,5.444
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,93.24,,,
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,,,,,3.492
CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(N3CCC(CCO)CC3)nc3ccccc23)CC1,,99.3,,,
ClC(Cl)Br,,,,,2.252
O=C(NC(O)C(Cl)(Cl)Cl)NC(O)C(Cl)(Cl)Cl,,,,,1.725
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,,,,,2.315
Cc1ccccc1-n1c(C)nc2ccc(N)cc2c1=O,,,,,3.646
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,,,,,3.818
C[C@H](Cc1cccc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c1)NC[C@H](O)c1ccc(O)c(CO)c1,,89.91,,,
CCCCSSC(Cl)C(Cl)Cl,,,,,2.705
Nc1nc2nc(-c3cccs3)cc(C(F)(F)F)n2n1,,79.92,,,
FC(F)(F)c1nc2c(Cl)ccc(Cl)c2[nH]1,,,,,4.99
C=CCNCC=C,,,,,2.226
COCCOc1nnc(CSP(=S)(OC)OC)s1,,,,,2.968
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,,,28.0,,
CC(=O)OC1=C(c2c(C)cc(C)cc2C)C(=O)c2ccccc21,,,,,1.5830000000000002
O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,,,,,1.551
C[C@@H]1O[C@@H](O[C@@H]2C(=O)c3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,-6.820000200000001,,,,
C1CNCCN1,,,,,1.656
CC(=O)Nc1ccc(O)cc1,-4.4400001,26.64,1.0,2.5,1.7990000000000002
CCOP(=S)(OCC)SC(C#N)c1ccccc1,,,,,3.4789999999999996
CCOP(=S)(OCC)SCc1nnc(C)o1,,,,,4.703
NC(=O)CF,,,,,4.127
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,-4.7399998,,,,3.369
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(n3cnnn3)C(OC)C2)CC(=O)C(C)/C=C(\C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C/1C,,,1.3,,
O=c1ncnc2[nH][nH]cc1-2,,,,0.8,
O=[N+]([O-])c1cc[n+]([O-])cc1,,,,,3.117
COc1ccc(S(=O)(=O)N2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)cc1Oc1cccc(Cl)c1,,97.49,,,
CCCCCN(N=O)C(N)=O,,,,,2.454
CCCCCC(=O)c1ccc(N)cc1,,,,,2.947
Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,,97.6,,,
Cc1onc2c(=O)n(C)nc(-c3ccccc3)c12,,,,,2.3819999999999997
CCOC(=O)C1CCCN1N=O,,,,,1.537
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,,,,,2.1590000000000003
C/C([O-])=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,,,0.16,,
CCCCSP(=O)(SCCCC)SCCCC,,,,,3.322
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCOC2)cc1,,92.64,,,
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,-4.6599998,,,,
O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@H]3CCC[C@@H]3OCc3ccccc3)c2s1,,93.1,,,
N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,,,,5.6,
CCOc1cc(CN2CCC(Nc3nc4cc(S(N)(=O)=O)ccc4o3)CC2)cc(OCC)c1N,,70.1,,,
Nc1ccc(OC(F)(F)C(F)F)c(N)c1,,,,,2.3209999999999997
O=C(CCl)OCC1CC2C=CC1C2,,,,,3.08
Cc1cccc(C)c1NC1=NCCCS1,,,,,3.2289999999999996
c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1,,99.8,,,
CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1F,,66.61,,,
CC1CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1,,,14.0,,
CCCCc1cc[nH]n1,,,,,2.387
CCNc1cccc(C)c1,,,,,2.3680000000000003
CC1(C)C(=O)N(Br)C(=O)N1Cl,,,,,2.605
Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(CCC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-5.1100001,,,,
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,,,,,2.688
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,,,,,3.962
CCCCOC(=O)CC(SC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,,,,,0.691
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccncc1)c1ccc(Cl)cc1,,98.7,,,
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2Cl)n[nH]1,,96.42,,,
CCCSP(C)(=S)Oc1ccc(Cl)cc1Cl,,,,,3.248
CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,,,1.42,,
CCCCc1c(OC(=O)C23CC4CC(CC(C4)C2)C3)n(-c2ccccc2)n(-c2ccccc2)c1=O,,,,,2.443
CCCC(=O)C(C)C,,,,,1.456
ClC1=C(Cl)C2(Cl)C3C4OC(C5OC54)C3C1(Cl)C2(Cl)Cl,,,,,3.431
CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,,,,,3.933
CC(=O)c1ccc(C)cc1,,,,,1.982
CC1(O)CC(C)(O)OO1,,,,,1.67
Cn1cncc1CN(CCN(Cc1ccccc1)S(=O)(=O)c1ccccn1)c1ccc(C#N)cc1,-5.5514212,,,,
CCCSP(C)SCCC,,,,,4.9430000000000005
CC(C)NC[C@@H](O)COc1cccc2ccccc12,,82.39,,,
CN(C)CCC[N+]1([O-])c2ccccc2CCc2ccccc21,,,,,3.463
Cc1nc(C)c(C)nc1C,,,,,1.853
NCC(=O)CCC(=O)O,-5.3400002,,,,
S=c1[nH]nc(NCNc2n[nH]c(=S)s2)s1,,,,,1.778
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@@H]1C[C@@H](N)[C@@H](O)[C@@H](C)O1,-6.5900002,,,,
CC(=O)N1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,,,,,2.966
CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1,,,0.27,,
CN1C(=O)CC(N2CCCN(CC/C=C3/c4ccccc4COc4ccc(C(=O)O)cc43)CC2)N(C)C1=O,-5.420000099999998,,,,
CCCCOC(=O)CC(C)=O,,,,,1.148
Nc1[nH]c(=O)ncc1F,,,0.68,4.2,
COC(C)(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@@]4(C)C3CC[C@]12C,-4.7600002,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,,55.73,,,
O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(Cl)cc1,,,,,2.318
O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,,,,,5.815
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@@]4(C)C3CC[C@]12C,-4.79,,,,
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,,98.44,,1.2,
CC(C)NCC(O)COc1cccc2cc(C(C)O)oc12,,,,,2.139
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,,,,,2.5639999999999996
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N1CCN(C)CC1,,99.19,,,
Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)s1,,98.81,,,
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,-4.1920457,,,,
CCOP(=S)(OCC)OP(=S)(OCC)OCC,,,,,4.809
C=CCCCOC(=O)C(CC)N(Cc1ccco1)C(=O)n1ccnc1,,,,,2.5469999999999997
CC(N)=O,,,,,0.926
OC[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,,95.63,,,
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,,14.23,0.75,30.0,2.3819999999999997
CN(N=O)C(N)=O,,,,,2.972
O=P(O)(O)CCCl,,,,,1.628
CC(=O)OCC(C)c1ccccc1,,,,,1.618
CCOC(C1=NCC(O)CN1)c1ccccc1,,,,,2.127
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,,,0.43,,
Clc1ccccc1Cl,,,,,2.468
Cn1c(N2CCCN(CCCN3c4ccccc4Sc4c(C(=O)O)cccc43)CC2)cc(=O)n(C)c1=O,-5.8005152,,,,
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,,,,3.6,
OCC(F)(F)C(F)(F)C(F)(F)CO,,,,,2.076
CP(=O)(Oc1ccccc1)Oc1ccccc1,,,,,3.0269999999999997
CCCN(CCO)CCO,,,,,1.689
CC(C)CON=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,,,,,3.954
CCOP(=O)(OC=CCl)N(CC)CC,,,,,3.502
Cc1ccc(CO)cc1,,,,,1.496
Cc1sc2c(c1C)c(=O)n(-c1ccc(F)cc1)c(=O)n2CC(=O)NCc1ccco1,,97.32,,,
COP(=S)(NC(=S)N(C)CCO)OC,,,,,4.333
Cc1cc(S)c(N)nn1,,,,,1.854
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,,99.52,,0.7,
CCC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,,,0.2,,
Cc1ccc(O)c([N+](=O)[O-])c1,,,,,1.659
CN(C)CCNCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,,95.01,,,
COc1c(C)ccc(C)c1N(COC(C)C)C(=O)CCl,,,,,2.239
CCOP(=S)(OCC)Oc1cc(C)nc(N(C)C)n1,,,,,3.388
C1=CC2C=CC1C2,,,,,2.015
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,,,1.03,,2.441
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(-c4cnco4)cc3)CS[C@H]12)c1csc(N)n1,,,0.22,,
CC[NH+]1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,,,0.94,,
CCON(CC)N=O,,,,,2.072
CC=CC=CC(=O)O,,,,,1.183
CC(=NOC(=O)N(C)SSN(C)C(=O)ON=C(C)SCCC#N)SCCC#N,,,,,3.764
COP(=S)(OC)Oc1ccc(C#N)cc1C,,,,,2.7110000000000003
CC(C)[NH+]1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,,,6.6,,
CC1=NC(c2ccc(F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,,95.12,,,
